id,comment,label,task
train_007499,Quá chán đi,0,9
train_007499,Mua 2 thỏi liền 0320,1,9
train_007499,Không dùng được,0,1
train_007478,Mới đặt chiều hôm trước mà trưa hôm sau đã có chưa bao giờ mua hàng online lại nhanh đến vậy,2,3
train_007478,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh,2,9
train_007478,Chúc shop làm ăn phát đạt,2,9
train_006177,"thiếu dây ở gậy ""selfie""",0,1
train_005231,Hàng khá ổn,2,1
train_013675,"Chất lượng sản phẩm tuyệt vời
 Đóng gói sản phẩm rất đẹp và chắc chắn
 Shop phục vụ rất tốt
Phê phê phê sẽ mua tiếp",1,9
train_005875,Chất lượng sản phẩm tuyệt vời,2,1
train_005875,Đặt 3 cái thì cả 3 đều hoạt động tốt,2,1
train_005875,Cảm ơn shop nhiều ạ,2,5
train_005295,Thiếu cục sạc,0,9
train_006028,Chỉ tuột ra hết,0,1
train_006028,Máy không chắc chắn,0,1
train_003215,Hàng đẹp,2,1
train_003215,Chất lượng,1,1
train_003215,Tóm lại là ok,1,9
train_015164,"Vải hơi mỏng, màu bị lem nhưng thôi, ổn ạ",0,1
train_013063,Chất lượng tồi,0,1
train_002450,Đẹp và sang trọng mình hy vọng độ bền cao,2,1
train_013063,Kim đồng hồ tự động di chuyển,1,9
train_013063,Được 1 ngày đã không chạy nữa,0,1
train_013063,Phí tiền,0,9
train_001763,Đẹp quá,2,1
train_001763,Chất lượng cũng ổn,2,1
train_004842,Kích thước giày mình chọn là 37 nhưng hàng về chỉ tầm 35-36 mình không mang được,0,7
train_013742,Như hàng mà,0,9
train_004842,Mình nhắn tin ship nhưng shop không trả lời tin nhắn và mình không biết phải làm sao,0,5
train_002527,"Màu đẹp, pin mới dùng mà nhanh hết không biết là pin mới hay hỏng nữa",0,1
train_013804,Bé nhà mình rất thích ăn. Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm rất đẹp và chắc chắn. Shop phục vụ rất tốt. Rất đáng tiền. Thời gian giao hàng rất nhanh,2,1
train_015353,"Nhìn những hình ảnh này khi mà đã là một sinh viên đại học, cảm giác thật khó tả",1,9
train_012905,Chất lượng sản phẩm tốt nhưng bộ chén ăn dặm,1,9
train_012905,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_012905,Rất đáng tiền,2,4
train_012905,Thời gian giao hàng rất nhanh,2,3
train_002766,Chất lượng sản phẩm rất kém: rách tơi tả. Nhắn tin và gửi hình ảnh thì Shop không trả lời.,0,5
train_002766,Chán,0,9
train_008851,Combo 5 sản phẩm giao combo 4 sản phẩm 5 thành 4 bớt 1 là sao?,0,3
train_001038,Giao hàng chậm trễ đến 5 lần,0,3
train_001038,Đặt cả tuần mới nhận được hàng,0,3
train_001038,Thời gian giao hàng rất chậm,0,3
train_001038,Chất lượng sản phẩm tạm được,1,1
train_000707,Chất lượng sản phẩm tuyệt vời,2,1
train_000707,Đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,2,9
train_000707,Cảm ơn và chúc shop buôn may bán đắt nhé ❤️,2,9
train_007341,"Ghế đẹp, chắc chắn
Giá cả hợp lý",1,9
train_005834,Dặn soạn hàng một đằng giao hàng một nẻo,0,3
train_005834,Mọi người mua hàng chú ý nhé!,1,9
train_012114,Nhưng hơi ít loại và thiếu 1 cái và bị nhầm 3 mặt nạ môi,0,9
train_012114,Chất lượng sản phẩm tuyệt vời,2,1
train_013044,"Nhắn lưu ý không lấy màu hồng và đỏ vẫn gửi một cái xanh, một cái hồng!!",0,3
train_013044,???,0,9
train_006314,"Thời gian giao hàng rất nhanh, sản phẩm ổn, có điều shop làm mình hơi hụt hẫng vì bảo gấp thì hủy đơn dù 28/07 đã đến, mình hiểu shop buôn bán tránh rủi ro nhưng khách hàng thật sự cần và nghĩ shop có thể gửi hàng kịp lúc, mới đêm hôm lọ mọ đặt hàng dù phí ship 73k",1,9
train_000427,Sản phẩm này xấu hơn S6 Active,0,1
train_000427,trước lăn tăn S6 active nhưng không có thẻ nhớ nên thôi,0,9
train_000427,Nhưng nếu về Việt Nam mình chọn S7 Active vì hình như em nó hỗ trợ thẻ nhớ,1,9
train_014042,Chết tiền,0,4
train_002046,Ngon lắm ạ,2,1
train_002992,Vừa bật nguồn lên cái đèn màn hình tắt mở hoài không sáng luôn haizz,0,1
train_008736,Đã giảm giá còn 200k khi mua về nghe được 1 tuần đầu rất ok phải nói là rất tuyệt,2,8
train_008736,tai bên trái bắt đầu có tiếng bụp bụp thay cho tiếng bass,0,9
train_008736,nghe vô cùng khó chịu,0,9
train_008736,Tai bên phải không biết bị gì mà tiếng nhỏ hẳn,0,9
train_008736,Thật sự vô cùng bực bội,0,9
train_006413,"Đây cũng là chiến lược của các nhà mạng bên Mỹ, như AT&T họ muốn độc quyền khai thác iPhone để tạo lợi thế cạnh tranh so với các nhà mạng khác",1,9
train_005761,đèn thì đúng nhưng bát để bắt hẹp và bé và 2 ốc ngắn,0,1
train_003638,Hàng không giống hình,0,1
train_003638,"Size bậy bạ, giày dơ, giá rẻ nhưng chất lượng không đáng nửa giá",0,1
train_006551,"Đồng hồ rất đẹp, khá là hài lòng, đóng gói sản phẩm ổn",2,2
train_015377,Không ngon lắm nhưng chấp nhận được,1,1
train_015377,Chỉ có điều là mình đã hủy đơn hàng nhưng shop vẫn gửi hàng đi cho mình.là ko hài lòng lắm.,1,9
train_007579,"Hàng ổn nhưng pin mau hết quá, mới mua về xài được 5 phút hết pin",0,1
train_012139,"Shop giao hàng không đúng mô tả: Mô tả 186gram, thực tế hơn 250gram
Chủ shop lượn lẹo xảo trả: Báo hàng sai, shop vặn lại do mình cân sai, bắt mình đi tìm cần nhỏ hơn để cân ( trong khi shop có hàng, tự cân tự biết )

Chủ shop không đồng ý trả hàng: Bắt mình phải làm việc với shope rất mất thời gian",1,9
train_003187,Shop phục vụ rất tốt đây là lần thứ 2 mua hàng ở shop rồi và sẽ ủng hộ shop dài,2,5
train_009888,Hàng mua về lại bị lỗi không hoạt động,0,1
train_009888,Trả hàng thì bất tiện không có người nhận lại,0,7
train_009888,Quỵt tiền của người mua,0,9
train_009888,"Chả đáng tin. Trả hàng rồi mà chẳng thấy hoàn lại tiền, lại bảo chờ hơn một tháng chờ kiểu gì.",0,7
train_013102,sao anh không khác đi vậy anh Samsung....!,0,9
train_013102,"Anh luôn làm như thế này, anh có điều gì đổi mới và sáng tạo hơn trong thiết kế không",0,9
train_012619,Hàng auth nhé,1,9
train_012811,Bên ngoài xấu,0,1
train_014939,Giày bên phải dây dính màu còn giày trái góc trầy => hàng qua sử dụng. Chất lượng sản phẩm rất kém,0,1
train_000120,mua 2 cục laptop vào không có tín hiệu,0,1
train_000120,đều không dùng được,0,1
train_012985,Hàng dùng tốt lắm bạn em khen nức nở,2,1
train_010712,Hàng không đúng với quảng cáo quá thất vọng,0,1
train_010712,không hài lòng,0,1
train_002265,Đẹp tuyệt vời luôn shop ơi,2,9
train_007333,"Chỉ được một ít thôi, ria mép vẫn còn 90% luôn",0,1
train_001321,Hàng dùng tốt giao nhanh hơn dự kiến,2,3
train_002939,Đặt màu xanh giao màu hồng,0,3
train_006173,Hàng về hoàn toàn khác trong ảnh làm bằng inox chất lượng kém,0,1
train_002939,xấu,0,1
train_006173,😠😠,1,9
train_003214,Hôm trước mua 1 cái rất hài lòng hôm nay mua thêm 2 cái vẫn thấy rất hài lòng giao hàng rất nhanh chỉ hơn 1 ngày là có hàng,2,3
train_004902,"Sản phẩm quá kém chất lượng, tôi vứt ngay khi thử",0,1
train_005636,Kích thước giày hơi lớn hơn thực tế,0,1
train_001105,Màu đúng rất đẹp,2,1
train_005636,Thời gian giao hàng rất nhanh,2,3
train_014394,Ổ cứng SSD khá mỏng manh không được chắc chắn,0,1
train_014394,Ghét nhất là hỏi shop không thèm trả lời,0,5
train_014394,kém,0,1
train_014394,Nên tránh,0,9
train_008362,"Shop đóng gói cẩn thận chắc chắn, sữa date mới",2,2
train_008362,Tuy nhiên giao hàng hơi lâu,0,3
train_009192,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn, shop phục vụ rất tốt, thời gian giao hàng rất nhanh, rất đáng tiền, túi chân không hai lớp",2,9
train_006375,Việc đặt hàng đơn giản dễ dàng,2,6
train_009543,Sản phẩm đẹp phù hợp giá cả,2,4
train_006375,Nhân viên giao hàng tốt và nhiệt tình,2,3
train_006375,Mình chỉ không hài lòng thái độ nhân viên tổng đài của Tiki khi gọi điện thoại xác nhận đơn hàng,0,5
train_006375,Cô nhân viên vừa nói vừa cười khúc khích không tập trung,0,5
train_015617,Máy tàu dùng chán giật.,0,1
train_002791,"Quá tệ, không giống hình",0,1
train_006375,Mong Tiki góp ý cho đội ngũ tổng đài điện thoại,0,5
train_015617,khác quá nhiều so với máy công ty,0,9
train_015617,Tóm lại là chán,0,9
train_015617,Chỉ dùng nghe gọi được thôi,0,9
train_015617,Nhắn tin quá giật,0,5
train_005913,Toàn bộ là sản phẩm của Karoma,1,9
train_005913,Mùi hắc và gây buồn nôn,0,1
train_015339,Rất thích kiểu dáng sang trọng lịch lãm của Blackberry,2,9
train_015339,phải ráng để dành tiền rước một em về,2,4
train_011431,"Son có dấu hiệu đã bị bóc tem phần miệng, phần miệng son có dính một ít màu như kiểu bạn chủ shop lau son đi để bán nhưng chưa lau kỹ",0,1
train_011431,Nếu không có hàng hoặc sợ lỗ để làm deal thì đừng đăng ký deal,0,9
train_011431,Săn deal nhưng không có nghĩa là phải sử dụng hàng cũ,0,9
train_011431,Thân và không bao giờ quay lại shop này!,0,5
train_014903,Chất liệu dày mịn nhưng gửi lộn mẫu cho mình,0,3
train_002377,Boot đẹp,2,1
train_002377,Hợp với giá tiền,2,4
train_002377,Mặc dù không hoàn hảo nhưng vẫn ổn lắm,2,1
train_012582,Shop chuyên bán hàng giả/hàng fake sau khi bị báo cáo và phải hoàn tiền thì gọi điện và nhắn tin làm phiền khách,0,9
train_011179,màu hơi cũ,0,1
train_003422,Chất lượng sản phẩm tuyệt vời,2,1
train_015611,Hương thơm không được lâu,0,1
train_003422,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_011026,Giao hàng nhanh chất lượng phù hợp với mức giá,2,3
train_003422,Shop phục vụ rất tốt,2,5
train_014877,Mới dùng 1 ngày đã hư,0,1
train_011456,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_011456,Thời gian giao hàng rất nhanh,2,3
train_000847,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_011456,Chất lượng sản phẩm rất phù hợp với giá tiền,2,1
train_000847,Chưa sử dụng nên chưa báo được chất lượng!,1,1
train_013936,Gói hàng rất đẹp còn sản phẩm chưa sử dụng nên chưa biết công dụng như thế nào,1,2
train_004843,Hàng hết date,0,1
train_003078,Đóng gói cực ẩu vỡ nát cả 2 gương,0,2
train_005279,Hộp đựng ổn nhưng túi đựng vừa nhận kéo khóa đã hỏng rồi,0,2
train_002181,Chất lượng tuyệt vời,2,1
train_002181,Thời gian giao hàng nhanh,2,3
train_012856,Vải đẹp,2,1
train_012856,Chất lượng sản phẩm tuyệt vời,2,1
train_015875,Shop ơi hơi bé,0,9
train_002181,Ok,1,9
train_000410,"Cửa hàng này lừa đảo, các bạn không nên mua đồ ở đây",0,9
train_000410,Phím hỏng không bấm được chữ nào,0,1
train_000410,Đồ mồ nhận được cái phím chưa kịp cười đã ức vì bị lừa trắng trợn,0,1
train_012348,Mascara dùng siêu thích với mắt dầu của mình,2,1
train_005090,"Chất lượng sản phẩm tuyệt vời, lông mềm mượt vô cùng, đóng gói sản phẩm chất lượng",2,1
train_011499,Thời gian giao hàng rất nhanh,2,3
train_011499,Rất đáng tiền,2,4
train_011499,Chất lượng sản phẩm tuyệt vời,2,1
train_011499,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_008594,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_008594,Chất lượng sản phẩm tuyệt vời,2,1
train_008594,Chưa dùng hàng nhưng hy vọng hàng ổn. Shop có mua túi xách thì qua ủng hộ shop em với nhé.,1,9
train_001026,"Tay cầm này quá tệ... sản phẩm này rất tốt, đúng là Xiaomi chính hãng",2,1
train_006385,Hàng đẹp,2,1
train_011629,Mình đặt 3 chiếc có 1 bị lỗi phần cao su,0,1
train_011629,Shop đổi giúp mình được không?,1,7
train_012764,"Cảm ơn shop và chúc shop làm ăn phát đạt 
 Thời gian giao hàng rất nhanh",1,9
train_012764,"Đóng gói chưa tốt nhưng may mắn không ảnh hưởng tới giày, giày đẹp nhưng to, to hơn size 36 mình thường đi",1,2
train_011629,Cảm ơn shop,2,5
train_006385,Không vào nước,0,1
train_001162,Dùng thích mê đắp xong da mướt mườn mượt mà cả ngày không bị đổ dầu nhiều như trước nữa,2,1
train_001162,Đã thế lại còn sale sốc nên quất luôn 2 hộp,2,8
train_010111,Mình rất ưng ý hàng chính hãng rất đáng tiền,2,1
train_015994,Chất lượng sản phẩm tuyệt vời,2,1
train_013914,Phục vụ quá kém,0,5
train_013914,Giao hàng sai gọi điện nhắn tin không thèm trả lời,0,3
train_013914,Mang tiếng là shopmall mà làm việc không chuyên nghiệp tí nào,0,9
train_013914,Như là lừa đảo,0,9
train_015994,"Shop phục vụ rất tốt, rất đáng tiền",2,5
train_013914,Tem mác như làm giả,0,1
train_013914,Dùng băng dính dán lên tem không cho xem hàng,0,3
train_013914,Mọi người tránh cái shop này ra,0,9
train_005899,"Chất vải như hình, mình thích kiểu HM hơn nên mua cho con các mẹ à",2,1
train_004161,"Shop giao nhầm màu tím nhé nhưng giày đẹp, đi mềm",2,3
train_011453,Shop dễ thương tư vấn nhiệt tình vải mềm mịn và sờ rất mát,2,5
train_010091,Sản phẩm mới đeo chỉ rửa tay mà đã vỡ nước,0,1
train_006706,"Chất lượng sản phẩm tuyệt vời, đóng gói hơi bừa, còn lại mọi thứ đều tuyệt",2,1
train_006120,"Hơi nước rất mạnh, rất nóng",1,9
train_005140,"Giao hàng nhanh và chuẩn màu ạ, cảm ơn chị nhiều",2,3
train_006120,Ủi nhanh và thẳng,2,1
train_006120,Giá rẻ chất lượng tốt ạ. Thời gian giao hàng rất nhanh,2,3
train_005473,Bánh ngon hơi cứng,1,1
train_005473,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền,2,1
train_008351,Thấy bảo có tặng gối hơi với bịt mắt,1,8
train_008351,mà nhận hàng không thấy đâu,0,3
train_013440,Màu xấu lên không đều màu chất son xấu trôi thì kinh khủng,0,1
train_008351,Đề nghị shop kiểm tra lại,0,9
train_009800,Nhìn đi nhìn lại vẫn không thấy có gì đáng để mua.,0,9
train_016065,Son đẹp lắm ạ,2,1
train_003337,"Shop phục vụ rất kém. Cho số điện thoại gọi cả chục cuộc mà không liên hệ lại. Mua một lần là chạy luôn, không có lần thứ hai",0,5
train_005299,đẹp lắm ạ,2,1
train_005100,Mới mua về chưa kịp xem hàng đẹp hay không là bị rớt mất,0,3
train_005100,Nên không biết đánh giá sao,1,9
train_015333,"Sản phẩm không như hình, chất vải xấu",0,1
train_007926,"Giày dép cực kỳ dễ thương, shop nhiệt tình. Thời gian giao hàng cực nhanh",2,3
train_004116,Đóng gói cẩn thận - Giao hàng rất chậm. Không hài lòng về thời gian giao hàng,0,3
train_013326,"Chất lượng sản phẩm tuyệt vời, găng đeo tập rất thích, giá lại rẻ, cảm ơn shop",2,1
train_005511,Che phủ tạm ổn,1,1
train_014262,Nhìn bịch đường bó tay luôn,0,2
train_004076,Khách quen mà shop chuẩn bị hàng lâu cũng không inbox một câu,0,5
train_010082,"Thời gian giao hàng rất nhanh, rất đáng tiền, shop phục vụ rất tốt, chất lượng sản phẩm tuyệt vời",2,9
train_014049,Shop phục vụ rất kém,0,5
train_014049,Chất lượng sản phẩm rất kém,0,1
train_012451,Rất đáng tiền Chất lượng sản phẩm tuyệt vời,2,1
train_012451,Cảm ơn shop,2,9
train_012451,Bỉm mềm mỏng,2,1
train_007181,Kem rất tốt thơm và không lộ vân kem,2,1
train_014621,"Chất lượng sản phẩm tuyệt vời nhưng gói hàng không cẩn thận bị móp méo nhiều, cho lần sau cẩn thận hơn shop nhé",1,2
train_007693,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_007025,.,1,9
train_007025,Hàng rất đẹp ❤️ !,2,1
train_014069,Sản phẩm đẹp và chắc chắn chất lượng rất tốt,2,1
train_014069,Giao hàng rất nhanh,2,3
train_014069,Shop bán hàng rất ổn,2,9
train_011844,"Sản phẩm ok, giao hàng hơi chậm xíu",1,3
train_010996,Ghi chú giao hạn sử dụng còn xa mà giao 3 chai hạn sử dụng còn có 2 tháng 17 ngày,0,3
train_008269,Chất lượng sản phẩm tuyệt vời hợp với giá tiền,2,1
train_003639,Chất lượng sản phẩm tuyệt vời rất đẹp,2,1
train_015657,"Hàng chuẩn from Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt → Hàng chuẩn, đóng gói sản phẩm rất đẹp và chắc chắn, shop phục vụ rất tốt",2,2
train_003639,Mọi người nên mua ở shop này nhé,2,9
train_015235,"Hàng dùng siêu tốt, mình tưởng đầy đủ 3 vạch wifi trong phòng là mạng ảo chứ không dùng được, ai ngờ dùng tốt, nhanh, xem video thoải mái.",2,1
train_015235,Câu hỏi cho shop: lắp cái này vào tiền điện có bị tăng đột biến không,1,9
train_004008,Vòng dây dài quá,0,9
train_015235,Trước đó thì chỉ bắt được một vạch vì cục wifi gốc thấp quá không vào được phòng,0,9
train_004008,Tay mình cũng to mà vẫn thấy dài,0,9
train_004008,Đóng gói cẩn thận,2,2
train_004008,Nhìn đẹp hơn hình,2,1
train_004008,Tiếc cậy lẫy để di chuyển cho nấc khóa ngắn lại thì sau đó chốt lại lỏng không đóng được,0,1
train_006427,Thất vọng,0,9
train_006427,Không thấy mắc khóa,0,9
train_006427,Hạt thì không di chuyển được,0,9
train_006427,Nội dung thì tại nhà sản xuất,1,9
train_006427,"Không biết dòng chữ ""bảo t"" đăng lên để làm gì..",0,9
train_006427,"Dây đeo hai bên cắt, vết cắt rõ, rất chán.",0,1
train_006427,Còn chưa sử dụng,1,9
train_006427,"Không biết chất lượng thế nào nữa, cái cảm giác như bị lừa haiz",0,1
train_008952,lần này tiki làm mình thất vọng quá,0,5
train_015476,"Giao hàng nhanh, đóng gói cẩn thận và son rất đẹp",2,3
train_008952,Mua combo tinh chất dưỡng và kem tẩy tế bào chết nhưng lại nhận được tinh chất dưỡng và sữa rửa mặt,0,7
train_008952,Hộp quà thì ta nói như mới lấy lên từ chỗ khai quật đồ cổ dơ và móp méo tùm lum,0,2
train_008952,chỗ quỳ gối,0,9
train_013405,"Gửi hàng lộn size, nhắn tin đổi thì không trả lời, làm ăn chán quá, không có lần sau",0,5
train_013405,Shop phục vụ rất kém,0,5
train_002658,Sao bảo có hộp???,0,2
train_002658,Mà mình nhận hàng lại không có hộp,0,2
train_005560,Giá quá chất,2,4
train_006315,"Màu siêu xinh, hôm qua đặt hôm nay đã nhận được",2,3
train_005560,"Không biết có bền không nhưng cấu hình, kiểu dáng và giá cả quá tốt",2,4
train_000819,Xài ok ak,1,9
train_007115,Đơn hàng gồm 11 sản phẩm nhưng bị đóng gói nhồi nhét ẩu,0,2
train_007115,Mặc dù biết là kinh doanh phải đặt lợi nhuận lên nhưng khi đóng bọc một cuốn sách/một sản phẩm tinh thần ít ra người bọc phải biết quý sách và quý trọng khách hàng,0,5
train_007115,"Một sản phẩm muốn tốt thì nên đặt cái tâm vào để làm. Rất buồn vì ""người bán sách"" lại không có tình yêu vào sách khi chuyển tải một sản phẩm",1,9
train_012677,Áo đẹp lắm mà cái lông cổ bé nhà mình thấy sợ quá khóc thét lên không dám mặc áo,0,1
train_007115,Mình cho 2 sao để bạn bọc sách đừng gửi những sản phẩm như vậy làm mất niềm tin người tầm sách,0,2
train_014132,Da mỏng,1,1
train_014132,Tầm giá rẻ phải chấp nhận,1,4
train_014132,Nói chung là ok trong tầm giá,2,4
train_015640,kẹo Milo Cube toàn là bị bể,0,1
train_000634,Áo mỏng,1,1
train_015640,Chất lượng sản phẩm kém,0,1
train_013974,Form dép bé quá mình đặt 39 mà về không đi được size bé như size 36,0,7
train_011011,Da mình cực khô,0,9
train_011011,Đắp một lần đã mềm,2,1
train_011011,Cảm giác rất dễ chịu,2,9
train_014932,"giày đẹp
giao hàng nhanh",1,9
train_011011,Mặt nạ cực mỏng ôm sát và rất dễ gỡ,2,1
train_001854,"Đã nhận được hàng, nhưng chưa test, mong sẽ tốt, sẽ ủng hộ shop nữa",2,3
train_013915,Chất lượng sản phẩm tuyệt vời,2,1
train_014582,Màu không giống hình,0,1
train_013915,Thời gian giao hàng rất nhanh,2,3
train_013639,Ok nhưng shop lại đóng thiếu ốp lưng,0,2
train_010174,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,2,1
train_010174,Vận chuyển quá chậm,0,3
train_013555,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_006175,Đẹp lắm ạ!,2,1
train_013555,Boot đẹp,2,1
train_006175,Đóng gói sản phẩm rất đẹp và chắc chắn!,2,2
train_006175,Chất lượng sản phẩm tuyệt vời,2,1
train_000612,Ổn trong tầm giá,2,4
train_007151,không như hình dán vào bật ra,0,1
train_005499,"Bông dùng rất thích, không bị sơ như loại Emily mà tôi đang dùng",2,1
train_000612,Thời gian giao hàng rất nhanh,2,3
train_004773,Hàng đẹp rẻ,2,4
train_008317,Ngon rất ngon >< quá ngon!!!!!,2,1
train_004773,Đúng như hình chất lượng ok,2,1
train_010167,Cách đóng gói sơ sài máy giao không thấy rách chỗ nào,0,2
train_010167,"Mình thường xuyên dùng bỉm Moony cho con, bỉm mua của bạn cứng hơn và có mùi hắc. Theo bạn giải thích thì do mùi hạt bông, vậy mình hỏi chủ shop đã dùng bỉm Moony xịn chưa?",0,1
train_010167,Mình thấy có mùi gì đâu,1,1
train_010167,cố dùng tạm cho hết vậy sẽ k mua bỉm trên mạng nữa,1,9
train_013096,"Dầu có mùi không tự nhiên của dầu olive mà có mùi thơm hơi khó chịu, chất lượng không như mong đợi",0,1
train_001441,Chất lượng sản phẩm tuyệt vời,2,1
train_001441,"Hộp có vẻ hơi cũ một chút, đồng xu mở pin bị rỉ hết rồi",0,2
train_001441,Tư vấn nhiệt tình,2,5
train_006694,"Hai sim chỉ dành cho sinh viên, mất đi sự đẳng cấp!",0,9
train_007197,"Giao hàng nhanh, giá rẻ, chất lượng tốt, mua 20 máy không lỗi máy nào",2,1
train_005505,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh nhân viên giao hàng rất nhiệt tình,2,9
train_005037,"Hàng như hình, shop phục vụ rất tốt, rất đáng tiền",2,1
train_005037,"Gói đẹp, shop gửi nhầm, bạn nhắn tin xin lỗi, rất cảm ơn shop.",2,5
train_015699,"Sản phẩm như hình, siêu yêu",2,1
train_007749,Mặt nạ ôm sát cơ mặt không có cảm giác bết dính dùng tạm ổn,1,1
train_000251,Vở rất đẹp,2,1
train_015530,Mới đầu sử dụng thì rất tốt,2,1
train_015530,Được 1 tháng thì đơ màn hình,0,1
train_006129,Giặt qua mấy nước là bị thu nhỏ lại,0,1
train_004351,"Giao nhanh
 .đúng giá tiền.",1,9
train_006129,Không hài lòng,0,9
train_004351,Rất hài lòng,2,1
train_013925,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn mỗi tội đặt size hơi rộng một chút Shop phục vụ rất tốt Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,2,1
train_008017,"Bọc sản phẩm rất kỹ, shop dễ thương, giao hàng nhanh, sản phẩm gội mượt tóc",2,3
train_008224,Kiểm tra mã vạch bằng phần mềm iCheck báo hàng chuẩn,2,1
train_014377,Bánh rất khó ăn,0,1
train_014537,Hàng chuẩn rất đáng tiền,2,1
train_014537,Lần sau mong shop chuẩn bị hàng nhanh hơn chút,0,3
train_004734,"Đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt, mua 3 màu 3 size nhưng shop gửi nhầm 1 size 1 màu, yêu cầu đổi trả shop vẫn ok",2,5
train_001466,Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh. Nói chung là rất hoàn hảo bạn nào có nhu cầu mua đàn ukulele thì hãy liên hệ với shop,2,9
train_004734,Chủ shop nhiệt tình,2,5
train_004734,Lần sau shop để ý khi soạn hàng cho khách,0,1
train_015510,"Mới mua xài được mấy ngày đã cháy phích cắm, cần hỗ trợ đổi trả",0,7
train_010713,Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt,2,5
train_009961,gửi hàng lâu quá,0,3
train_011204,"Giày rất đẹp rất đáng để mua 
Cam ơn shop nhìu",1,9
train_004354,"Cây bàn ủi có mùi hôi gì đó, em không biết có giặt được không ạ",0,9
train_015037,Shop dễ thương quá,2,9
train_002098,Giao hàng chậm,0,3
train_002098,Chất lượng sản phẩm tạm được,1,1
train_009248,"Mua hàng mấy lần của shop rồi, lần nào cũng ưng ý hết, sẽ ủng hộ shop tiếp, chúc shop buôn may bán đắt nhé.",2,9
train_004762,"iPhone có IOS vốn đã chạy nhanh, nay tăng RAM lên là chạy như tên lửa",2,1
train_015509,"Giá tốt, mỗi việc giao hơi lâu",0,3
train_015509,Cho 5 sao vì giá tốt,2,4
train_015432,Đóng gói sản phẩm rất đẹp và chắc chắn,2,2
train_015432,Shop phục vụ rất tốt,2,5
train_014694,"Vừa rẻ lại vừa đẹp, rẻ hơn nhiều so với mấy shop khác, còn được tặng thêm sợi dây nữa ❤️ Chất lượng sản phẩm tuyệt vời",2,4
train_011860,Bột mịn thơm ngon,2,1
train_015432,Thời gian giao hàng chậm mất 4 ngày GHN,0,3
train_009531,"Giao hàng nhanh, ốp đẹp. Đóng gói sản phẩm rất đẹp và chắc chắn",2,2
train_008209,Chất lượng bình thường không được như ý,0,1
train_008209,Đúng là tiền nào của nấy,1,4
train_008209,Đầu giày bị móp không căng phồng giống hình,0,1
train_003394,"Giày rất đẹp nhưng giao hàng quá chậm, dự kiến là thứ sáu nhưng đến thứ hai mới giao",0,3
train_005151,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn, shop phục vụ tốt nhưng bị giao sai mẫu",0,9
train_001596,Dép size 35 chân 38 mang vẫn vừa 😊 Chất lượng sản phẩm tuyệt vời,2,1
train_000923,"Giao hàng rất chậm nội thành Sài Gòn mà giao mất 5 ngày, hộp đã bị khui không còn seal, tai nghe trầy nhiều chỗ, âm thanh hơi nhỏ phải tăng hết ga mới nghe vừa",0,3
train_010958,"chập chờn khi cắm sạc, một lúc sau mới sạc ổn định, rất khó chịu",0,1
train_012807,Chuối siêu ngon sạch sẽ lắm nha,2,1
train_012089,"Case rất xinh ạ, cảm ơn shop",2,1
train_003125,Đóng gói chắc chắn đẹp,2,2
train_007376,"Tôi lấy 3 mẫu sau, giao có một mẫu vậy",0,3
train_003125,Sản phẩm tốt,2,1
train_007376,Cho đổi lại được không,0,7
train_008451,Mùi siêu dễ thương,2,9
train_013418,quá thất vọng so với quảng cáo tiếng quá bê lắp ráp cẩu thả nên chỗ sạc pin không cắm được phải sửa lại,0,1
train_013352,Có kèm quà tặng,1,8
